Intervention	healthy	myc-low	mixed-myc-low	mixed-myc-high	myc-high
Caspase9_id343	[0]	[0]	[0]	[0]	[0]
BAXBAK_id318	[0]	[0]	[0]	[0]	[0]
Caspase3_id317	[0]	[0]	[0]	[0]	[0]
mdm2_id176	[3]	[1, 2, 3, 4, 5, 6]	[1, 2, 3, 4, 5, 6]	[5]	[5]
PHD2_id557	[3, 4, 5, 6]	[4]	[4]	[6]	[5]
VHL_id556	[3, 4, 5, 6]	[4]	[4]	[6]	[5]
Raf_1_id34	[0]	[0, 1, 2, 3, 4]	[0, 1, 2, 3, 4]	[6]	[6]
Erk_id36	[0]	[0, 1, 2, 3, 4]	[0]	[6]	[6]
Mek_id35	[0]	[0, 1, 2, 3, 4]	[0, 1, 2, 3, 4]	[6]	[6]
ErbB1_id298	[0]	[0, 1, 2, 3, 4, 5, 6]	[4]	[6]	[6]
Ras_id32	[0]	[0, 1, 2, 3, 4, 5, 6]	[4]	[6]	[6]
Beta_Catenin_id227	[0]	[0, 1, 2, 3, 4, 5, 6]	[3]	[5]	[5]
Frizzled_id218	[0]	[0, 1, 2, 3, 4, 5, 6]	[3]	[5]	[5]
E2F_1_id199	[0]	[4]	[1, 2, 3, 4]	[5]	[6]
EZH2_id535	[0]	[4]	[1, 2, 3, 4]	[5]	[6]
Myc_id2	[0]	[0, 1, 2, 3, 4]	[0]	[0]	[0, 1, 2, 3, 4, 5, 6]
Noxa_id325	[0]	[3]	[0, 1, 2, 3]	[3]	[3]
PTEN_id531	[0]	[2]	[1]	[2]	[4]
HIF1_id558	[0]	[1]	[1]	[3]	[5]
BAD_id324	[0]	[3]	[0, 1, 2, 3]	[3]	[5]
Ets_2_id38	[0]	[0, 1, 2, 3, 4]	[0, 1, 2, 3, 4]	[3]	[5]
cFos_id662	[0]	[0, 1, 2, 3, 4]	[0, 1, 2, 3, 4]	[3]	[5]
Elk_1_id661	[0]	[0, 1, 2, 3, 4]	[0, 1, 2, 3, 4]	[3]	[5]
pRb_id198	[3]	[4]	[1, 2, 3, 4]	[3]	[5]
GSK3_id45	[1]	[4]	[1, 2, 3, 4]	[3]	[3, 4, 5, 6]
Akt_id40	[2]	[2, 3, 4, 5, 6]	[2, 3]	[3]	[5]
PI3K_id33	[2]	[2, 3, 4, 5, 6]	[2, 3]	[3]	[5]
Mcl1_id321	[1]	[4]	[2, 3, 4]	[4]	[5]
Bcl_xl_id320	[1]	[4]	[2, 3, 4]	[4]	[5]
Bcl_W_id356	[1]	[4]	[2, 3, 4]	[4]	[5]
A1_id357	[1]	[4]	[2, 3, 4]	[4]	[5]
Bcl_2_id319	[1]	[4]	[2, 3, 4]	[4]	[5]
p38_id617	[0]	[4]	[4]	[3]	[5]
VEGF_id671	[0]	[4]	[4]	[3]	[5]
PEA3_id563	[0]	[0, 1, 2, 3, 4, 5, 6]	[0, 1, 2, 3, 4, 5, 6]	[3]	[5]
COX2_id564	[0]	[0, 1, 2, 3, 4, 5, 6]	[0, 1, 2, 3, 4, 5, 6]	[3]	[5]
EP4_id610	[0]	[0, 1, 2, 3, 4, 5, 6]	[0, 1, 2, 3, 4, 5, 6]	[3]	[5]
ARF_id177	[0]	[4]	[1, 2, 3, 4]	[1, 2, 3, 4]	[6]
p53_id175	[0]	[4]	[1, 2, 3, 4]	[1, 2, 3, 4]	[6]
CDK2_id644	[0]	[4]	[1, 2, 3, 4]	[3]	[6]
Rsk_id53	[0]	[4]	[1, 2, 3, 4]	[3]	[6]
TRAP1_id20	[0]	[4]	[1, 2, 3, 4]	[3]	[5]
TGFR_id8	[0]	[4]	[1, 2, 3, 4]	[3]	[5]
TGFBeta_id9	[0]	[4]	[1, 2, 3, 4]	[3]	[5]
p27_id62	[0]	[4]	[1, 2, 3, 4]	[3]	[5]
p21_id19	[0]	[4]	[1, 2, 3, 4]	[3]	[5]
p16_id61	[0]	[4]	[1, 2, 3, 4]	[3]	[5]
p15_id22	[0]	[4]	[1, 2, 3, 4]	[3]	[5]
BIM_id323	[0]	[4]	[1, 2, 3, 4]	[3]	[5]
CDK4_id60	[0]	[4]	[1, 2, 3, 4]	[3]	[5]
